ID,Text,Countries,Sentences,Characters
0,"Australia is famous for its food, unlike Australia. My friend from India loves China. I traveled to Egypt and then visited USA. We saw Spain and Mexico on the map. From Egypt, we flew to Peru and finally Chile. Both Vietnam and Chile are beautiful.","[Australia, Australia, India, China, Egypt, USA, Spain, Mexico, Egypt, Peru, Chile, Vietnam, Chile]",6,248
1,"The delegation from China met with UK. My friend from Russia loves Peru. After leaving USA, I went to USA again. Both Russia and USA are beautiful. My friend from Peru loves China. I traveled to Vietnam and then visited Canada.","[China, UK, Russia, Peru, USA, USA, Russia, USA, Peru, China, Vietnam, Canada]",6,227
2,"France is famous for its food, unlike UK. After leaving Peru, I went to Peru again. We saw Kenya and China on the map.","[France, UK, Peru, Peru, Kenya, China]",3,118
3,"After leaving Chile, I went to Chile again. My friend from Spain loves Spain. My friend from Egypt loves Spain. My friend from Brazil loves Australia. I traveled to Brazil and then visited Russia.","[Chile, Chile, Spain, Spain, Egypt, Spain, Brazil, Australia, Brazil, Russia]",5,196
4,"From Chile, we flew to Russia and finally USA. Both Canada and Peru are beautiful. Russia is famous for its food, unlike Argentina. The delegation from Japan met with Brazil. France is famous for its food, unlike Japan.","[Chile, Russia, USA, Canada, Peru, Russia, Argentina, Japan, Brazil, France, Japan]",5,219
5,Both France and Canada are beautiful. We saw Peru and Mexico on the map. The delegation from France met with Canada.,"[France, Canada, Peru, Mexico, France, Canada]",3,116
6,"My friend from Italy loves Argentina. From Argentina, we flew to Spain and finally Japan. The delegation from USA met with Vietnam. Russia is famous for its food, unlike France. After leaving France, I went to France again. I traveled to Russia and then visited Brazil.","[Italy, Argentina, Argentina, Spain, Japan, USA, Vietnam, Russia, France, France, France, Russia, Brazil]",6,269
7,"My friend from Spain loves Japan. We saw Canada and Canada on the map. After leaving Germany, I went to Germany again. I traveled to India and then visited Germany.","[Spain, Japan, Canada, Canada, Germany, Germany, India, Germany]",4,164
8,"Italy is famous for its food, unlike Spain. My friend from Kenya loves Egypt. The delegation from France met with Egypt. From Canada, we flew to Kenya and finally Germany. After leaving Canada, I went to Canada again. The delegation from Argentina met with Russia.","[Italy, Spain, Kenya, Egypt, France, Egypt, Canada, Kenya, Germany, Canada, Canada, Argentina, Russia]",6,264
9,My friend from India loves India. Both Mexico and Kenya are beautiful. The delegation from Australia met with Italy. I traveled to Argentina and then visited Spain.,"[India, India, Mexico, Kenya, Australia, Italy, Argentina, Spain]",4,164
10,"After leaving Italy, I went to Italy again. The delegation from USA met with Chile. After leaving Argentina, I went to Argentina again. Both Kenya and Spain are beautiful. We saw Russia and Egypt on the map.","[Italy, Italy, USA, Chile, Argentina, Argentina, Kenya, Spain, Russia, Egypt]",5,207
11,"Canada is famous for its food, unlike Chile. We saw Mexico and UK on the map. After leaving Brazil, I went to Brazil again. We saw Mexico and Mexico on the map. Both Germany and USA are beautiful.","[Canada, Chile, Mexico, UK, Brazil, Brazil, Mexico, Mexico, Germany, USA]",5,196
12,"My friend from France loves Vietnam. I traveled to China and then visited Peru. UK is famous for its food, unlike France. Both Kenya and Spain are beautiful. My friend from Chile loves Mexico. The delegation from Brazil met with France.","[France, Vietnam, China, Peru, UK, France, Kenya, Spain, Chile, Mexico, Brazil, France]",6,236
13,"After leaving Chile, I went to Chile again. From Japan, we flew to Italy and finally Vietnam. From Kenya, we flew to Chile and finally Brazil. We saw Chile and UK on the map.","[Chile, Chile, Japan, Italy, Vietnam, Kenya, Chile, Brazil, Chile, UK]",4,174
14,"Both Canada and Chile are beautiful. From Germany, we flew to Brazil and finally Argentina. My friend from Egypt loves Russia.","[Canada, Chile, Germany, Brazil, Argentina, Egypt, Russia]",3,126
15,"I traveled to UK and then visited Chile. Both Kenya and Canada are beautiful. We saw Russia and Italy on the map. From Japan, we flew to Egypt and finally Peru.","[UK, Chile, Kenya, Canada, Russia, Italy, Japan, Egypt, Peru]",4,160
16,"USA is famous for its food, unlike USA. We saw Japan and Mexico on the map. I traveled to Russia and then visited India. From Chile, we flew to Italy and finally Chile. After leaving Mexico, I went to Mexico again.","[USA, USA, Japan, Mexico, Russia, India, Chile, Italy, Chile, Mexico, Mexico]",5,214
17,My friend from China loves Spain. I traveled to USA and then visited Italy. Both Russia and Japan are beautiful. Both Kenya and France are beautiful.,"[China, Spain, USA, Italy, Russia, Japan, Kenya, France]",4,149
18,"Both Spain and India are beautiful. I traveled to Kenya and then visited Spain. Brazil is famous for its food, unlike France. From Mexico, we flew to Spain and finally Argentina. Both USA and UK are beautiful. After leaving Argentina, I went to Argentina again.","[Spain, India, Kenya, Spain, Brazil, France, Mexico, Spain, Argentina, USA, UK, Argentina, Argentina]",6,261
19,"We saw Vietnam and Vietnam on the map. After leaving Peru, I went to Peru again. Both Italy and Germany are beautiful. Both Chile and Chile are beautiful. Japan is famous for its food, unlike Spain. USA is famous for its food, unlike Australia.","[Vietnam, Vietnam, Peru, Peru, Italy, Germany, Chile, Chile, Japan, Spain, USA, Australia]",6,244
20,"Both France and Kenya are beautiful. I traveled to Germany and then visited Japan. We saw Chile and UK on the map. After leaving Brazil, I went to Brazil again. The delegation from China met with Italy.","[France, Kenya, Germany, Japan, Chile, UK, Brazil, Brazil, China, Italy]",5,202
21,"The delegation from Russia met with UK. After leaving Italy, I went to Italy again. My friend from Mexico loves Spain. From Peru, we flew to Vietnam and finally Japan. The delegation from Vietnam met with Japan. After leaving Japan, I went to Japan again.","[Russia, UK, Italy, Italy, Mexico, Spain, Peru, Vietnam, Japan, Vietnam, Japan, Japan, Japan]",6,255
22,"We saw Mexico and Germany on the map. My friend from Spain loves France. From Egypt, we flew to Egypt and finally UK. After leaving Japan, I went to Japan again.","[Mexico, Germany, Spain, France, Egypt, Egypt, UK, Japan, Japan]",4,161
23,Both Russia and USA are beautiful. Both Vietnam and Brazil are beautiful. The delegation from Mexico met with Japan.,"[Russia, USA, Vietnam, Brazil, Mexico, Japan]",3,116
24,My friend from Argentina loves Mexico. I traveled to UK and then visited Peru. The delegation from China met with Brazil.,"[Argentina, Mexico, UK, Peru, China, Brazil]",3,121
25,We saw Peru and Egypt on the map. We saw Argentina and Chile on the map. The delegation from Brazil met with USA. The delegation from UK met with France. I traveled to Russia and then visited Brazil. The delegation from Japan met with India.,"[Peru, Egypt, Argentina, Chile, Brazil, USA, UK, France, Russia, Brazil, Japan, India]",6,241
26,"Argentina is famous for its food, unlike Argentina. Both France and Brazil are beautiful. France is famous for its food, unlike Kenya. India is famous for its food, unlike Mexico. The delegation from Peru met with China. We saw USA and India on the map.","[Argentina, Argentina, France, Brazil, France, Kenya, India, Mexico, Peru, China, USA, India]",6,253
27,"The delegation from Canada met with Germany. After leaving Germany, I went to Germany again. Italy is famous for its food, unlike Chile. From USA, we flew to China and finally Japan.","[Canada, Germany, Germany, Germany, Italy, Chile, USA, China, Japan]",4,182
28,"From Chile, we flew to Chile and finally India. My friend from France loves Russia. I traveled to Chile and then visited India. My friend from Japan loves Brazil.","[Chile, Chile, India, France, Russia, Chile, India, Japan, Brazil]",4,162
29,"From Vietnam, we flew to Spain and finally Argentina. We saw Germany and Vietnam on the map. Spain is famous for its food, unlike Peru.","[Vietnam, Spain, Argentina, Germany, Vietnam, Spain, Peru]",3,135
30,"I traveled to France and then visited Russia. My friend from USA loves China. After leaving USA, I went to USA again. After leaving Russia, I went to Russia again. After leaving Brazil, I went to Brazil again.","[France, Russia, USA, China, USA, USA, Russia, Russia, Brazil, Brazil]",5,209
31,"We saw USA and China on the map. I traveled to Germany and then visited Italy. My friend from Vietnam loves Australia. My friend from Italy loves USA. Vietnam is famous for its food, unlike Canada.","[USA, China, Germany, Italy, Vietnam, Australia, Italy, USA, Vietnam, Canada]",5,197
32,My friend from Canada loves Vietnam. Both France and India are beautiful. The delegation from Germany met with Japan. I traveled to Spain and then visited Russia. The delegation from Germany met with Kenya.,"[Canada, Vietnam, France, India, Germany, Japan, Spain, Russia, Germany, Kenya]",5,206
33,"I traveled to Kenya and then visited Italy. We saw USA and Russia on the map. After leaving Germany, I went to Germany again. Both Mexico and Argentina are beautiful. My friend from India loves Australia. After leaving Egypt, I went to Egypt again.","[Kenya, Italy, USA, Russia, Germany, Germany, Mexico, Argentina, India, Australia, Egypt, Egypt]",6,248
34,"From Egypt, we flew to Brazil and finally Argentina. We saw Italy and Vietnam on the map. From UK, we flew to Brazil and finally Brazil. After leaving Mexico, I went to Mexico again. From India, we flew to Australia and finally Australia. Canada is famous for its food, unlike China.","[Egypt, Brazil, Argentina, Italy, Vietnam, UK, Brazil, Brazil, Mexico, Mexico, India, Australia, Australia, Canada, China]",6,283
35,"Spain is famous for its food, unlike Chile. Both Vietnam and Peru are beautiful. My friend from Vietnam loves Russia. I traveled to Spain and then visited Vietnam. From UK, we flew to Mexico and finally Australia.","[Spain, Chile, Vietnam, Peru, Vietnam, Russia, Spain, Vietnam, UK, Mexico, Australia]",5,213
36,"Australia is famous for its food, unlike Peru. From Australia, we flew to India and finally Argentina. Kenya is famous for its food, unlike Australia.","[Australia, Peru, Australia, India, Argentina, Kenya, Australia]",3,150
37,"After leaving Chile, I went to Chile again. We saw Italy and France on the map. Both Italy and Egypt are beautiful. After leaving Argentina, I went to Argentina again.","[Chile, Chile, Italy, France, Italy, Egypt, Argentina, Argentina]",4,167
38,"The delegation from Peru met with Australia. After leaving Kenya, I went to Kenya again. From Chile, we flew to Canada and finally Vietnam.","[Peru, Australia, Kenya, Kenya, Chile, Canada, Vietnam]",3,139
39,"I traveled to UK and then visited UK. Both Mexico and France are beautiful. After leaving China, I went to China again. I traveled to Vietnam and then visited Mexico.","[UK, UK, Mexico, France, China, China, Vietnam, Mexico]",4,166
40,"The delegation from Spain met with Russia. Germany is famous for its food, unlike Italy. Both USA and Brazil are beautiful. My friend from Australia loves Vietnam. Both Japan and Germany are beautiful.","[Spain, Russia, Germany, Italy, USA, Brazil, Australia, Vietnam, Japan, Germany]",5,201
41,My friend from Italy loves Japan. Both Germany and France are beautiful. The delegation from Spain met with Egypt. Both UK and Russia are beautiful.,"[Italy, Japan, Germany, France, Spain, Egypt, UK, Russia]",4,148
42,I traveled to UK and then visited Egypt. My friend from UK loves USA. We saw Argentina and Russia on the map. We saw Egypt and Italy on the map. The delegation from Japan met with Vietnam.,"[UK, Egypt, UK, USA, Argentina, Russia, Egypt, Italy, Japan, Vietnam]",5,188
43,"My friend from Russia loves Kenya. Both Argentina and Australia are beautiful. I traveled to Spain and then visited Germany. After leaving Germany, I went to Germany again. The delegation from Brazil met with France.","[Russia, Kenya, Argentina, Australia, Spain, Germany, Germany, Germany, Brazil, France]",5,216
44,"Chile is famous for its food, unlike Egypt. I traveled to Germany and then visited China. After leaving France, I went to France again. My friend from India loves USA. My friend from Canada loves India. My friend from France loves Egypt.","[Chile, Egypt, Germany, China, France, France, India, USA, Canada, India, France, Egypt]",6,237
45,"From Peru, we flew to Vietnam and finally UK. The delegation from Canada met with Spain. From Mexico, we flew to USA and finally India. After leaving Brazil, I went to Brazil again.","[Peru, Vietnam, UK, Canada, Spain, Mexico, USA, India, Brazil, Brazil]",4,181
46,We saw Spain and Vietnam on the map. The delegation from Mexico met with Vietnam. I traveled to Chile and then visited Egypt. We saw Mexico and UK on the map.,"[Spain, Vietnam, Mexico, Vietnam, Chile, Egypt, Mexico, UK]",4,158
47,"Italy is famous for its food, unlike Australia. After leaving Germany, I went to Germany again. Argentina is famous for its food, unlike France. My friend from Kenya loves Mexico. My friend from India loves Egypt.","[Italy, Australia, Germany, Germany, Argentina, France, Kenya, Mexico, India, Egypt]",5,213
48,"Chile is famous for its food, unlike Japan. I traveled to Argentina and then visited Russia. Both USA and Mexico are beautiful. My friend from Argentina loves France. I traveled to Argentina and then visited Peru.","[Chile, Japan, Argentina, Russia, USA, Mexico, Argentina, France, Argentina, Peru]",5,213
49,"From Russia, we flew to Vietnam and finally India. We saw Mexico and Russia on the map. Both Chile and Brazil are beautiful. I traveled to Chile and then visited Mexico. After leaving Russia, I went to Russia again. From Russia, we flew to Italy and finally Mexico.","[Russia, Vietnam, India, Mexico, Russia, Chile, Brazil, Chile, Mexico, Russia, Russia, Russia, Italy, Mexico]",6,265
50,"I traveled to Canada and then visited France. From Canada, we flew to Japan and finally Italy. I traveled to India and then visited Russia. Both India and Brazil are beautiful. My friend from Chile loves UK.","[Canada, France, Canada, Japan, Italy, India, Russia, India, Brazil, Chile, UK]",5,207
51,"Both UK and Spain are beautiful. From Egypt, we flew to Argentina and finally Egypt. My friend from Vietnam loves Russia. We saw USA and Australia on the map.","[UK, Spain, Egypt, Argentina, Egypt, Vietnam, Russia, USA, Australia]",4,158
52,"The delegation from Canada met with Australia. My friend from Chile loves Kenya. My friend from Mexico loves USA. After leaving Mexico, I went to Mexico again. I traveled to Peru and then visited Russia.","[Canada, Australia, Chile, Kenya, Mexico, USA, Mexico, Mexico, Peru, Russia]",5,203
53,"Chile is famous for its food, unlike India. I traveled to Chile and then visited France. We saw Argentina and Germany on the map.","[Chile, India, Chile, France, Argentina, Germany]",3,129
54,"After leaving Peru, I went to Peru again. I traveled to China and then visited Kenya. Both Japan and Peru are beautiful. The delegation from China met with Mexico. The delegation from France met with Russia. We saw Japan and Spain on the map.","[Peru, Peru, China, Kenya, Japan, Peru, China, Mexico, France, Russia, Japan, Spain]",6,242
55,"My friend from Argentina loves Brazil. USA is famous for its food, unlike Chile. The delegation from India met with Italy. USA is famous for its food, unlike China. I traveled to Mexico and then visited Vietnam. We saw Argentina and Argentina on the map.","[Argentina, Brazil, USA, Chile, India, Italy, USA, China, Mexico, Vietnam, Argentina, Argentina]",6,254
56,"We saw Peru and UK on the map. UK is famous for its food, unlike France. Vietnam is famous for its food, unlike Egypt. France is famous for its food, unlike UK.","[Peru, UK, UK, France, Vietnam, Egypt, France, UK]",4,160
57,"My friend from Canada loves Japan. Australia is famous for its food, unlike Canada. Vietnam is famous for its food, unlike Italy.","[Canada, Japan, Australia, Canada, Vietnam, Italy]",3,129
58,"My friend from Canada loves Vietnam. From Egypt, we flew to Russia and finally Spain. Kenya is famous for its food, unlike Argentina. Mexico is famous for its food, unlike Canada.","[Canada, Vietnam, Egypt, Russia, Spain, Kenya, Argentina, Mexico, Canada]",4,179
59,"We saw Egypt and Kenya on the map. We saw Egypt and France on the map. My friend from France loves Vietnam. From Brazil, we flew to India and finally Germany. I traveled to China and then visited Russia.","[Egypt, Kenya, Egypt, France, France, Vietnam, Brazil, India, Germany, China, Russia]",5,203
60,"I traveled to Russia and then visited Egypt. We saw UK and Australia on the map. The delegation from Chile met with Egypt. Japan is famous for its food, unlike Germany.","[Russia, Egypt, UK, Australia, Chile, Egypt, Japan, Germany]",4,168
61,"After leaving France, I went to France again. After leaving Italy, I went to Italy again. Brazil is famous for its food, unlike USA.","[France, France, Italy, Italy, Brazil, USA]",3,132
62,"My friend from Italy loves Peru. From Spain, we flew to Argentina and finally Australia. Both India and USA are beautiful. From Australia, we flew to Argentina and finally Argentina.","[Italy, Peru, Spain, Argentina, Australia, India, USA, Australia, Argentina, Argentina]",4,182
63,I traveled to India and then visited Mexico. The delegation from India met with Japan. My friend from Chile loves Australia. We saw USA and Egypt on the map. We saw Egypt and Mexico on the map.,"[India, Mexico, India, Japan, Chile, Australia, USA, Egypt, Egypt, Mexico]",5,193
64,"The delegation from Egypt met with Australia. Egypt is famous for its food, unlike Chile. After leaving Vietnam, I went to Vietnam again. Both Kenya and India are beautiful. My friend from Brazil loves Peru. We saw Vietnam and Chile on the map.","[Egypt, Australia, Egypt, Chile, Vietnam, Vietnam, Kenya, India, Brazil, Peru, Vietnam, Chile]",6,244
65,"I traveled to UK and then visited Peru. After leaving Japan, I went to Japan again. Both Brazil and Spain are beautiful. We saw Australia and Canada on the map. My friend from Germany loves Italy. After leaving China, I went to China again.","[UK, Peru, Japan, Japan, Brazil, Spain, Australia, Canada, Germany, Italy, China, China]",6,240
66,"The delegation from Brazil met with Egypt. After leaving UK, I went to UK again. Mexico is famous for its food, unlike Vietnam. Peru is famous for its food, unlike Brazil.","[Brazil, Egypt, UK, UK, Mexico, Vietnam, Peru, Brazil]",4,171
67,"The delegation from UK met with France. Both Germany and Kenya are beautiful. Both Japan and Canada are beautiful. From France, we flew to China and finally Chile.","[UK, France, Germany, Kenya, Japan, Canada, France, China, Chile]",4,163
68,"From Peru, we flew to France and finally Vietnam. The delegation from France met with Russia. The delegation from Russia met with Spain. We saw Peru and Peru on the map. I traveled to Brazil and then visited UK. After leaving Canada, I went to Canada again.","[Peru, France, Vietnam, France, Russia, Russia, Spain, Peru, Peru, Brazil, UK, Canada, Canada]",6,257
69,"We saw Kenya and Brazil on the map. From India, we flew to France and finally Italy. My friend from Mexico loves Egypt. Kenya is famous for its food, unlike India.","[Kenya, Brazil, India, France, Italy, Mexico, Egypt, Kenya, India]",4,163
70,"My friend from France loves Brazil. Argentina is famous for its food, unlike Peru. My friend from Vietnam loves Egypt. After leaving Peru, I went to Peru again. We saw Brazil and India on the map.","[France, Brazil, Argentina, Peru, Vietnam, Egypt, Peru, Peru, Brazil, India]",5,196
71,"From Vietnam, we flew to Australia and finally China. From Chile, we flew to Argentina and finally UK. After leaving USA, I went to USA again. I traveled to Australia and then visited Egypt. My friend from Mexico loves Russia. Chile is famous for its food, unlike China.","[Vietnam, Australia, China, Chile, Argentina, UK, USA, USA, Australia, Egypt, Mexico, Russia, Chile, China]",6,270
72,"We saw China and USA on the map. I traveled to Canada and then visited Germany. From UK, we flew to Chile and finally USA. Russia is famous for its food, unlike Egypt. From Spain, we flew to Italy and finally Italy.","[China, USA, Canada, Germany, UK, Chile, USA, Russia, Egypt, Spain, Italy, Italy]",5,215
73,The delegation from Spain met with Australia. My friend from Egypt loves China. My friend from Japan loves UK. My friend from Brazil loves UK.,"[Spain, Australia, Egypt, China, Japan, UK, Brazil, UK]",4,142
74,"The delegation from Vietnam met with Australia. The delegation from India met with Spain. I traveled to Canada and then visited Russia. From Argentina, we flew to Egypt and finally Egypt.","[Vietnam, Australia, India, Spain, Canada, Russia, Argentina, Egypt, Egypt]",4,187
75,"The delegation from China met with Germany. We saw Spain and Canada on the map. From Brazil, we flew to Mexico and finally Peru. Chile is famous for its food, unlike Spain. Both Japan and Australia are beautiful. We saw India and Spain on the map.","[China, Germany, Spain, Canada, Brazil, Mexico, Peru, Chile, Spain, Japan, Australia, India, Spain]",6,247
76,Both Egypt and Australia are beautiful. Both Spain and Russia are beautiful. Both UK and Kenya are beautiful. I traveled to France and then visited Chile.,"[Egypt, Australia, Spain, Russia, UK, Kenya, France, Chile]",4,154
77,"Japan is famous for its food, unlike Egypt. I traveled to France and then visited Mexico. After leaving Vietnam, I went to Vietnam again. My friend from Russia loves Germany. Both Italy and Australia are beautiful. Both India and Germany are beautiful.","[Japan, Egypt, France, Mexico, Vietnam, Vietnam, Russia, Germany, Italy, Australia, India, Germany]",6,252
78,I traveled to Germany and then visited Germany. I traveled to Vietnam and then visited China. The delegation from Italy met with Peru. I traveled to Mexico and then visited Vietnam.,"[Germany, Germany, Vietnam, China, Italy, Peru, Mexico, Vietnam]",4,181
79,"My friend from France loves France. After leaving China, I went to China again. The delegation from Egypt met with Mexico. We saw India and UK on the map. From Chile, we flew to Spain and finally Australia. We saw USA and China on the map.","[France, France, China, China, Egypt, Mexico, India, UK, Chile, Spain, Australia, USA, China]",6,239
80,"From Mexico, we flew to Australia and finally Brazil. From Peru, we flew to Australia and finally UK. After leaving Germany, I went to Germany again. I traveled to Canada and then visited Germany. Both Kenya and Vietnam are beautiful.","[Mexico, Australia, Brazil, Peru, Australia, UK, Germany, Germany, Canada, Germany, Kenya, Vietnam]",5,234
81,"Both India and Japan are beautiful. Both Germany and Russia are beautiful. France is famous for its food, unlike Spain. We saw Egypt and Vietnam on the map. The delegation from Argentina met with Spain. Both Australia and Chile are beautiful.","[India, Japan, Germany, Russia, France, Spain, Egypt, Vietnam, Argentina, Spain, Australia, Chile]",6,242
82,"Mexico is famous for its food, unlike Argentina. After leaving Brazil, I went to Brazil again. From Spain, we flew to USA and finally India. From Kenya, we flew to Egypt and finally Peru. After leaving India, I went to India again. I traveled to Germany and then visited USA.","[Mexico, Argentina, Brazil, Brazil, Spain, USA, India, Kenya, Egypt, Peru, India, India, Germany, USA]",6,275
83,"From India, we flew to Vietnam and finally Argentina. After leaving USA, I went to USA again. I traveled to Italy and then visited Germany. The delegation from UK met with Spain. I traveled to USA and then visited Canada.","[India, Vietnam, Argentina, USA, USA, Italy, Germany, UK, Spain, USA, Canada]",5,221
84,"After leaving Egypt, I went to Egypt again. From Argentina, we flew to USA and finally Kenya. Both Brazil and Peru are beautiful. The delegation from Australia met with Italy.","[Egypt, Egypt, Argentina, USA, Kenya, Brazil, Peru, Australia, Italy]",4,175
85,"From Germany, we flew to Australia and finally Canada. We saw China and Germany on the map. I traveled to Vietnam and then visited Brazil. Both Peru and Australia are beautiful. We saw France and Australia on the map.","[Germany, Australia, Canada, China, Germany, Vietnam, Brazil, Peru, Australia, France, Australia]",5,217
86,"Italy is famous for its food, unlike China. Egypt is famous for its food, unlike Argentina. Vietnam is famous for its food, unlike Mexico. The delegation from USA met with Australia. We saw Italy and Germany on the map.","[Italy, China, Egypt, Argentina, Vietnam, Mexico, USA, Australia, Italy, Germany]",5,219
87,Both Germany and Spain are beautiful. The delegation from India met with UK. My friend from Australia loves Mexico. My friend from India loves USA.,"[Germany, Spain, India, UK, Australia, Mexico, India, USA]",4,147
88,"My friend from Peru loves Mexico. From USA, we flew to Canada and finally India. My friend from Japan loves India. The delegation from UK met with UK. India is famous for its food, unlike UK. Both China and India are beautiful.","[Peru, Mexico, USA, Canada, India, Japan, India, UK, UK, India, UK, China, India]",6,227
89,"We saw Canada and Peru on the map. From Peru, we flew to Argentina and finally UK. Both Chile and France are beautiful. Both Chile and Egypt are beautiful. The delegation from Kenya met with India.","[Canada, Peru, Peru, Argentina, UK, Chile, France, Chile, Egypt, Kenya, India]",5,197
90,"From USA, we flew to Australia and finally Japan. Brazil is famous for its food, unlike Spain. My friend from Germany loves Mexico. Italy is famous for its food, unlike India. My friend from France loves France.","[USA, Australia, Japan, Brazil, Spain, Germany, Mexico, Italy, India, France, France]",5,211
91,"After leaving India, I went to India again. The delegation from Chile met with Peru. We saw USA and Peru on the map.","[India, India, Chile, Peru, USA, Peru]",3,116
92,"After leaving USA, I went to USA again. From Vietnam, we flew to Italy and finally Argentina. We saw Peru and UK on the map. Both Egypt and UK are beautiful. From USA, we flew to Kenya and finally Mexico.","[USA, USA, Vietnam, Italy, Argentina, Peru, UK, Egypt, UK, USA, Kenya, Mexico]",5,204
93,"After leaving China, I went to China again. From Argentina, we flew to Peru and finally Brazil. After leaving Canada, I went to Canada again. Both Australia and Australia are beautiful.","[China, China, Argentina, Peru, Brazil, Canada, Canada, Australia, Australia]",4,185
94,The delegation from Vietnam met with UK. Both Japan and Canada are beautiful. Both China and Chile are beautiful. The delegation from Peru met with Italy. My friend from Peru loves India.,"[Vietnam, UK, Japan, Canada, China, Chile, Peru, Italy, Peru, India]",5,187
95,"My friend from Kenya loves Peru. My friend from Vietnam loves Chile. I traveled to Canada and then visited India. After leaving France, I went to France again. I traveled to Kenya and then visited Japan.","[Kenya, Peru, Vietnam, Chile, Canada, India, France, France, Kenya, Japan]",5,203
96,"My friend from Kenya loves UK. From Italy, we flew to Japan and finally Argentina. I traveled to Kenya and then visited Argentina. My friend from Vietnam loves Argentina. I traveled to Vietnam and then visited Spain.","[Kenya, UK, Italy, Japan, Argentina, Kenya, Argentina, Vietnam, Argentina, Vietnam, Spain]",5,216
97,"We saw Chile and Kenya on the map. From Mexico, we flew to Brazil and finally Russia. My friend from Argentina loves Brazil. Russia is famous for its food, unlike Peru. I traveled to Australia and then visited Italy.","[Chile, Kenya, Mexico, Brazil, Russia, Argentina, Brazil, Russia, Peru, Australia, Italy]",5,216
98,"After leaving UK, I went to UK again. Italy is famous for its food, unlike Mexico. My friend from Canada loves China. My friend from Japan loves Brazil. My friend from USA loves India.","[UK, UK, Italy, Mexico, Canada, China, Japan, Brazil, USA, India]",5,184
99,"We saw Peru and Germany on the map. We saw UK and UK on the map. We saw Australia and India on the map. From Peru, we flew to Russia and finally Japan. After leaving France, I went to France again. I traveled to Germany and then visited Peru.","[Peru, Germany, UK, UK, Australia, India, Peru, Russia, Japan, France, France, Germany, Peru]",6,242
